date,symbol,series,isin,open,high,low,close,volume,turnover
2024-03-28,HDFCBANK,,,1440.7,1460.5,1440.7,1447.9,27796071,40348658115.25
2024-04-01,HDFCBANK,,,1458,1473.8,1455.6,1470.5,12599785,18479761763.45
2024-04-02,HDFCBANK,,,1465.15,1494.85,1463.25,1480.15,20612723,30573359203.2
2024-04-03,HDFCBANK,,,1472.1,1495.65,1471.4,1482.3,22792193,33847785699.15
2024-04-04,HDFCBANK,,,1504,1530,1504,1527.6,44467533,67619706935.1
2024-04-05,HDFCBANK,,,1539,1554.5,1530.15,1549.55,29527951,45630707255.45
2024-04-08,HDFCBANK,,,1554.95,1557.25,1541.55,1546.6,10241470,15841481181.95
2024-04-09,HDFCBANK,,,1554.85,1554.85,1540.3,1548.55,10942247,16932784193.35
2024-04-10,HDFCBANK,,,1549.9,1549.9,1532.95,1536.35,13903700,21403551158.35
2024-04-12,HDFCBANK,,,1521,1529.85,1513.45,1518.95,20542104,31226729837.45
2024-04-15,HDFCBANK,,,1497.55,1510,1492.05,1494.7,11707624,17575373460.4
2024-04-16,HDFCBANK,,,1487,1512.9,1482.25,1509.25,10372443,15552984303.1
2024-04-18,HDFCBANK,,,1509.8,1518.85,1491.05,1494.7,17117442,25741997797.45
2024-04-19,HDFCBANK,,,1486.55,1534.95,1480.25,1531.3,17288217,26184017914.35
2024-04-22,HDFCBANK,,,1557.4,1557.4,1508.3,1512.2,21149219,32139720597.85
2024-04-23,HDFCBANK,,,1526.3,1526.5,1503.25,1507.6,13413530,20262998928.7
2024-04-24,HDFCBANK,,,1515,1521.75,1509.05,1511.7,11220790,16993856319.65
2024-04-25,HDFCBANK,,,1506.25,1519.7,1506.25,1510.75,17722602,26807994509.45
2024-04-26,HDFCBANK,,,1519.8,1528,1505.55,1509.8,12427347,18829791289.85
2024-04-29,HDFCBANK,,,1515,1534.45,1506.55,1529.5,18046675,27451636250.7
2024-04-30,HDFCBANK,,,1529.2,1539.5,1514.9,1520.1,26153691,39969810062.5
2024-05-02,HDFCBANK,,,1522,1537,1520.35,1532.25,16737503,25635147567.95
2024-05-03,HDFCBANK,,,1533.25,1540.6,1507.2,1519.6,15932621,24235495414.8
2024-05-06,HDFCBANK,,,1522,1534.5,1517.15,1522.65,14396698,21965419859.1
2024-05-07,HDFCBANK,,,1521.95,1524.05,1504.15,1506.15,14240301,21512820634.1
2024-05-08,HDFCBANK,,,1495.95,1496.95,1480.35,1482.65,20843931,30986422880.6
2024-05-09,HDFCBANK,,,1474.95,1486.75,1445.3,1447.5,23140639,33821148758.2
2024-05-10,HDFCBANK,,,1439,1451.95,1426.8,1437.9,13638304,19651868794.15
2024-05-13,HDFCBANK,,,1432,1459.8,1430.3,1455.25,13523601,19570507197.6
